op_count_g,time_aware_group_id,num_ops,first_op_idx,last_op_idx,group_time_s,group_peak_memory_gb_est_sum,group_peak_memory_gb_est_max,job_names
1,40,1,42,42,10.824215533211827,8.642280578613281,8.642280578613281,mobilenet_v2_sub_model_42
1,41,1,43,43,27.8376360591501,9.519878387451172,9.519878387451172,mobilenet_v2_sub_model_43
1,42,1,44,44,1.2442102450877428,8.659503936767578,8.659503936767578,mobilenet_v2_sub_model_44
1,43,1,45,45,72.21491721644998,9.564838409423828,9.564838409423828,mobilenet_v2_sub_model_45
1,44,1,46,46,7.0382744036614895,8.70449447631836,8.70449447631836,mobilenet_v2_sub_model_46
1,45,1,47,47,34.30821064859629,8.704212188720703,8.704212188720703,mobilenet_v2_sub_model_47
1,46,1,48,48,6.961917651817203,8.703693389892578,8.703693389892578,mobilenet_v2_sub_model_48
1,47,1,49,49,27.458860386162996,9.57904052734375,9.57904052734375,mobilenet_v2_sub_model_49
1,48,1,50,50,1.2241227366030216,8.718196868896484,8.718196868896484,mobilenet_v2_sub_model_50
1,49,1,51,51,72.21801137365401,9.593521118164062,9.593521118164062,mobilenet_v2_sub_model_51
1,50,1,52,52,7.055307334288955,8.718143463134766,8.718143463134766,mobilenet_v2_sub_model_52
1,51,1,53,53,34.867368998005986,8.733505249023438,8.733505249023438,mobilenet_v2_sub_model_53
1,52,1,54,54,7.112963093444705,8.73349380493164,8.73349380493164,mobilenet_v2_sub_model_54
1,53,1,55,55,27.05958692356944,9.641105651855469,9.641105651855469,mobilenet_v2_sub_model_55
1,54,1,56,56,1.2002646569162607,8.732410430908203,8.732410430908203,mobilenet_v2_sub_model_56
1,55,1,57,57,72.66371483542025,9.608917236328125,9.608917236328125,mobilenet_v2_sub_model_57
1,56,1,58,58,7.068263690918684,8.758968353271484,8.758968353271484,mobilenet_v2_sub_model_58
1,57,1,59,59,34.84716587327421,8.761878967285156,8.761878967285156,mobilenet_v2_sub_model_59
1,58,1,60,60,7.050842367112637,8.762687683105469,8.762687683105469,mobilenet_v2_sub_model_60
1,59,1,61,61,32.99217789247632,9.672008514404297,9.672008514404297,mobilenet_v2_sub_model_61
1,60,1,62,62,127.26256000436842,13.578521728515625,13.578521728515625,mobilenet_v2_sub_model_62
1,61,1,63,63,7.6621742974966764,8.765220642089844,8.765220642089844,mobilenet_v2_sub_model_63
1,62,1,64,64,52.32869385369122,9.263481140136719,9.263481140136719,mobilenet_v2_sub_model_64
1,63,1,65,65,7.542243257164955,8.854976654052734,8.854976654052734,mobilenet_v2_sub_model_65
1,64,1,66,66,50.71583684720099,14.103885650634766,14.103885650634766,mobilenet_v2_sub_model_66
1,65,1,67,67,1.6459735464304686,8.849857330322266,8.849857330322266,mobilenet_v2_sub_model_67
1,66,1,68,68,128.4764352813363,14.161128997802734,14.161128997802734,mobilenet_v2_sub_model_68
1,67,1,69,69,7.61440584436059,8.84912109375,8.84912109375,mobilenet_v2_sub_model_69
1,68,1,70,70,53.234358644112945,9.348857879638672,9.348857879638672,mobilenet_v2_sub_model_70
1,69,1,71,71,7.650494758039713,8.921031951904297,8.921031951904297,mobilenet_v2_sub_model_71
1,70,1,72,72,51.1110647469759,14.295421600341797,14.295421600341797,mobilenet_v2_sub_model_72
1,71,1,73,73,1.6401654053479433,8.918510437011719,8.918510437011719,mobilenet_v2_sub_model_73
1,72,1,74,74,127.97579413466156,14.169975280761719,14.169975280761719,mobilenet_v2_sub_model_74
1,73,1,75,75,7.52279869094491,8.918876647949219,8.918876647949219,mobilenet_v2_sub_model_75
1,74,1,76,76,16.370172953233123,8.918750762939453,8.918750762939453,mobilenet_v2_sub_model_76
1,75,1,77,77,4.155248619616032,8.919273376464844,8.919273376464844,mobilenet_v2_sub_model_77
1,76,1,78,78,22.15017115138471,9.81093978881836,9.81093978881836,mobilenet_v2_sub_model_78
1,77,1,79,79,60.192681482061744,10.26553726196289,10.26553726196289,mobilenet_v2_sub_model_79
1,78,1,80,80,4.472468681633472,8.971126556396484,8.971126556396484,mobilenet_v2_sub_model_80
1,79,1,81,81,23.207238797098398,8.979137420654297,8.979137420654297,mobilenet_v2_sub_model_81
1,80,1,82,82,6.600079471245408,8.978904724121094,8.978904724121094,mobilenet_v2_sub_model_82
1,81,1,83,83,27.50104527361691,9.853893280029297,9.853893280029297,mobilenet_v2_sub_model_83
1,82,1,84,84,0.9892802238464355,8.980293273925781,8.980293273925781,mobilenet_v2_sub_model_84
1,83,1,85,85,61.87642171792686,9.980705261230469,9.980705261230469,mobilenet_v2_sub_model_85
1,84,1,86,86,4.387189427390695,8.983165740966797,8.983165740966797,mobilenet_v2_sub_model_86
1,85,1,87,87,23.50031203776598,8.983158111572266,8.983158111572266,mobilenet_v2_sub_model_87
1,86,1,88,88,18.08346688374877,9.421977996826172,9.421977996826172,mobilenet_v2_sub_model_88
1,87,1,89,89,27.198571195825934,10.320308685302734,10.320308685302734,mobilenet_v2_sub_model_89
1,88,1,90,90,0.9461409207433462,9.006839752197266,9.006839752197266,mobilenet_v2_sub_model_90
1,89,1,91,91,61.06775305792689,9.882652282714844,9.882652282714844,mobilenet_v2_sub_model_91
1,90,1,92,92,4.552067846059799,9.023517608642578,9.023517608642578,mobilenet_v2_sub_model_92
1,91,1,93,93,23.122737396508455,9.022407531738281,9.022407531738281,mobilenet_v2_sub_model_93
1,92,1,94,94,6.505746062844992,9.022457122802734,9.022457122802734,mobilenet_v2_sub_model_94
1,93,1,95,95,55.725214160978794,13.835941314697266,13.835941314697266,mobilenet_v2_sub_model_95
1,94,1,96,96,262.3798919506371,45.26755905151367,45.26755905151367,mobilenet_v2_sub_model_96
1,95,1,97,97,7.882398772984743,9.01287841796875,9.01287841796875,mobilenet_v2_sub_model_97
1,96,1,98,98,3.3221598397940397,9.014320373535156,9.014320373535156,mobilenet_v2_sub_model_98
1,97,1,99,99,0.6216981168836355,0.0,0.0,mobilenet_v2_sub_model_99
1,98,1,100,100,19.565802266821265,10.355049133300781,10.355049133300781,mobilenet_v2_sub_model_100
2,1,1,1,1,399.67422194220126,23.711090087890625,23.711090087890625,mobilenet_v2_sub_model_1
