g,job_id,start_op,end_op,num_ops,sum_op_time_s,max_op_time_s,sum_op_mem_gb,max_op_mem_gb,actual_time_s,actual_mem_gb
2,54,107,108,2,16.59323666500859,14.01516004698351,9.118965148925781,4.559482574462891,48.1844323030673,7.989185333251953
2,55,109,110,2,16.0929342842428,13.514446527115068,9.1195068359375,4.560016632080078,2.3724632409284823,3.1353073120117188
2,56,111,112,2,6.402685826062225,3.5672028629342094,9.125953674316406,4.566436767578125,2.530375090020243,3.286823272705078
2,57,113,114,2,6.53254545503296,3.821899797068909,9.133869171142578,4.56695556640625,6.079261382983532,3.501083374023437
2,58,115,116,2,6.095793212996796,3.5909660160541534,9.133983612060547,4.5670166015625,2.386188642005436,3.3083229064941406
2,59,117,118,2,9.208159846137278,5.186681875027716,9.637897491455078,4.9791107177734375,25.433914331078995,8.268085479736328
2,60,119,120,2,48.13151139894035,44.024808370973915,10.11025619506836,5.517345428466797,1.1846794630400836,3.220783233642578
2,61,121,122,2,8.526575185940601,4.329088686848991,9.203506469726562,4.610542297363281,1.2712248950265346,2.963817596435547
2,62,123,124,2,7.330771316890605,4.212174765998498,9.22122573852539,4.610614776611328,0.4512301549548282,0.0
2,63,125,126,2,8.787972996011376,4.482562132063322,9.229957580566406,4.617389678955078,30.759629791020416,5.280754089355469
2,64,127,128,2,7.431161904125474,4.427790325134993,9.236763000488281,4.619361877441406,1.0935596239869483,0.0
